Product List as of 07/12/2021,,,,,,
Product Code,Product Description,Product Group,Pack,Allocated,On Hand,Units
62HERMINH -04,"HERRINGBONE MINT HONED LIGHT 
CHIP SIZE 20X64X7MM SHEET SIZE 280X248X7MM 11.26SH/1M2 10SH/BOX=0.6944M2",HERRINGBONE,,0.0000,0.0000,M2
62HERPIEGYH,"HERRINGBONE PIETRA GREY  HONED
CHIP SIZE 64X20X10MM  
SHEET SIZE 280X248X10MM  
14.4 SHEETS/M2
5 SHEET/BOX=0.35M2",HERRINGBONE,,0.0000,1.1720,M2
62HERPIEGYH -01,HERRINGBONE PIETRA GREY HONED CHIP SIZE 64X20X10MM SHEET SIZE 280X248X10MM 14.4 SHEETS/M2 10SHEET/BOX=0.69M2,HERRINGBONE,,0.0000,76.8300,M2
62HERPIEGYH -02,HERRINGBONE PIETRA GREY HONED CHIP SIZE 64X20X10MM SHEET SIZE 280X248X10MM 14.4 SHEETS/M2 10SH/BOX=0.69M2,HERRINGBONE,,0.0000,87.4900,M2
62HERROST,"HERRINGBONE ROSSO TUMBLED CHIP SIZE 64X20X10MM SHEET SIZE 280X248X10MM 14.4 SHEETS/M2 
5SHEETS/BOX =0.35M2",HERRINGBONE,,0.0000,1.7330,M2
62HERROST -01,"HERRINGBONE ROSSO TUMBLED CHIP SIZE 64X20X10MM SHEET SIZE 280X248X10MM 14.4 SHEETS/M2 
5SHEETS/BOX =0.35M2",HERRINGBONE,,0.0000,13.4272,M2
62HERROST -02,"HERRINGBONE ROSSO TUMBLED CHIP SIZE 64X20X10MM SHEET SIZE 280X248X10MM 14.4 SHEETS/M2 
5SHEETS/BOX =0.35M2",HERRINGBONE,,0.0000,7.0710,M2
62HERROST -03,"HERRINGBONE ROSSO TUMBLED CHIP SIZE 64X20X10MM SHEET SIZE 280X248X10MM 14.4 SHEETS/M2 
5SHEETS/BOX =0.35M2",HERRINGBONE,,0.0000,5.8930,M2
62HERROST -04,"HERRINGBONE ROSSO TUMBLED CHIP SIZE 64X20X10MM SHEET SIZE 280X248X10MM 14.4 SHEETS/M2 
5SHEETS/BOX =0.35M2",HERRINGBONE,,0.0000,37.5000,M2
62HERROST -05,HERRINGBONE ROSSO TUMBLED CHIP SIZE 64X20X10MM SHEET SIZE 280X248X10MM 14.4 SHEETS/M2 5SHEETS/BOX =0.35M2,HERRINGBONE,,0.0000,0.0000,M2
70HEXCALH,"HEXAGON CALACATTA HONED 
CHIP SIZE 70X80X10MM SHEET SIZE 289X250 13.84 SHEETS/M2 10SHEETS/BOX=0.723M2",HEXAGON,,0.0000,26.6920,M2
70HEXCALH -01,"HEXAGON CALACATTA HONED 
CHIP SIZE 70X80X10MM SHEET SIZE 289X250 13.84 SHEETS/M2 10SHEETS/BOX=0.723M2",HEXAGON,,0.0000,0.0000,M2
70HEXCALH -02,"HEXAGON CALACATTA HONED 
CHIP SIZE 70X80X10MM SHEET SIZE 289X250 13.84 SHEETS/M2 10SHEETS/BOX=0.723M2",HEXAGON,,0.0000,44.5000,M2
70HEXCARH,"HEXAGON CARRARA HONED
CHIP SIZE 70X80X7MM SHEET SIZE 289X250 13.84 SHEETS/M2 10SHEETS/BOX=0.723M2",HEXAGON,,3.6000,2.7080,M2
70HEXCARH -01,"HEXAGON CARRARA HONED
CHIP SIZE 70X80X7MM SHEET SIZE 289X250 13.84 SHEETS/M2 10SHEETS/BOX=0.723M2",HEXAGON,,0.0000,77.5470,M2
70HEXCARH -02,"HEXAGON CARRARA HONED
CHIP SIZE 70X80X7MM SHEET SIZE 289X250 13.84 SHEETS/M2 10SHEETS/BOX=0.723M2",HEXAGON,,0.0000,0.0000,M2
70HEXCARH -03,"HEXAGON CARRARA HONED
CHIP SIZE 70X80X7MM SHEET SIZE 289X250 13.84 SHEETS/M2 5SHEETS/BOX=0.36M2",HEXAGON,,0.0000,2.9610,M2
70HEXCARH -04,"HEXAGON CARRARA HONED 
CHIP SIZE 70X80X10MM SHEET SIZE 289X250 
13.84 SHEETS/M2 5SHEETS/BOX=0.36M2",HEXAGON,,0.0000,31.5000,M2
70HEXCART,"HEXAGON CARRARA TUMBLED 
CHIP SIZE 70X80 SHEET SIZE289X250 13.84 SHEETS/M2
10 SHEETS/BOX=0.723M2",HEXAGON,,0.0000,28.4840,M2
70HEXCART -01,"HEXAGON CARRARA TUMBLED CHIP SIZE 70X80 SHEET SIZE289X250 13.84 SHEETS/M2
10SH/BOX=0.723M2",HEXAGON,,0.0000,4.4085,M2
